Generated on DKR10 at https://github.com/polgreen/BaeVer/commit/e657bde4879526c0533e9fb3e40e34a4b666374a,
model, modelnum, one, p1, p2, num of traces, trace length, integration samples, strategy, confidence, p1 count, inv_p1 count, p2 count, inv_p2 counts,
MDP , 3 , 1 , 0.15 , 0.15 , 1000 , 10 , 10000 , 0 , 0 , 9 , 55 , 500 , 2818 , 
MDP , 3 , 1 , 0.15 , 0.15 , 1000 , 10 , 10000 , 0 , 0 , 21 , 90 , 497 , 2724 , 
MDP , 3 , 1 , 0.15 , 0.15 , 1000 , 10 , 10000 , 0 , 0 , 8 , 54 , 490 , 2834 , 
MDP , 3 , 1 , 0.15 , 0.15 , 1000 , 10 , 10000 , 0 , 0 , 5 , 46 , 518 , 2819 , 
MDP , 3 , 1 , 0.15 , 0.15 , 1000 , 10 , 10000 , 0 , 0 , 7 , 50 , 473 , 2820 , 
MDP , 3 , 1 , 0.15 , 0.15 , 1000 , 10 , 10000 , 0 , 0 , 16 , 73 , 473 , 2789 , 
MDP , 3 , 1 , 0.15 , 0.15 , 1000 , 10 , 10000 , 0 , 0 , 15 , 77 , 546 , 2746 , 
MDP , 3 , 1 , 0.15 , 0.15 , 1000 , 10 , 10000 , 0 , 0 , 6 , 46 , 526 , 2846 , 
MDP , 3 , 1 , 0.15 , 0.15 , 1000 , 10 , 10000 , 0 , 0 , 13 , 63 , 501 , 2805 , 
MDP , 3 , 1 , 0.15 , 0.15 , 1000 , 10 , 10000 , 0 , 0 , 31 , 111 , 455 , 2693 , 
MDP , 3 , 1 , 0.15 , 0.15 , 1000 , 10 , 10000 , 0 , 0 , 10 , 56 , 459 , 2811 , 
MDP , 3 , 1 , 0.15 , 0.15 , 1000 , 10 , 10000 , 0 , 0 , 6 , 45 , 491 , 2848 , 
MDP , 3 , 1 , 0.15 , 0.15 , 1000 , 10 , 10000 , 0 , 0 , 7 , 50 , 482 , 2849 , 
MDP , 3 , 1 , 0.15 , 0.15 , 1000 , 10 , 10000 , 0 , 0 , 8 , 53 , 519 , 2825 , 
MDP , 3 , 1 , 0.15 , 0.15 , 1000 , 10 , 10000 , 0 , 0 , 12 , 66 , 492 , 2808 , 
MDP , 3 , 1 , 0.15 , 0.15 , 1000 , 10 , 10000 , 0 , 0 , 3 , 34 , 502 , 2886 , 
MDP , 3 , 1 , 0.15 , 0.15 , 1000 , 10 , 10000 , 0 , 0 , 11 , 61 , 526 , 2797 , 
MDP , 3 , 1 , 0.15 , 0.15 , 1000 , 10 , 10000 , 0 , 0 , 4 , 43 , 501 , 2840 , 
MDP , 3 , 1 , 0.15 , 0.15 , 1000 , 10 , 10000 , 0 , 0 , 1 , 28 , 514 , 2874 , 
MDP , 3 , 1 , 0.15 , 0.15 , 1000 , 10 , 10000 , 0 , 0 , 18 , 78 , 521 , 2746 , 
MDP , 3 , 1 , 0.15 , 0.15 , 1000 , 10 , 10000 , 0 , 0 , 12 , 64 , 528 , 2811 , 
MDP , 3 , 1 , 0.15 , 0.15 , 1000 , 10 , 10000 , 0 , 0 , 6 , 45 , 485 , 2844 , 
MDP , 3 , 1 , 0.15 , 0.15 , 1000 , 10 , 10000 , 0 , 0 , 8 , 53 , 515 , 2829 , 
MDP , 3 , 1 , 0.15 , 0.15 , 1000 , 10 , 10000 , 0 , 0 , 8 , 50 , 536 , 2796 , 
MDP , 3 , 1 , 0.15 , 0.15 , 1000 , 10 , 10000 , 0 , 0 , 6 , 46 , 500 , 2844 , 
MDP , 3 , 1 , 0.15 , 0.15 , 1000 , 10 , 10000 , 0 , 0 , 28 , 105 , 483 , 2719 , 
MDP , 3 , 1 , 0.15 , 0.15 , 1000 , 10 , 10000 , 0 , 0 , 11 , 59 , 476 , 2813 , 
MDP , 3 , 1 , 0.15 , 0.15 , 1000 , 10 , 10000 , 0 , 0 , 26 , 98 , 425 , 2722 , 
MDP , 3 , 1 , 0.15 , 0.15 , 1000 , 10 , 10000 , 0 , 0.0001 , 2 , 29 , 544 , 2859 , 
