Generated on DKR11 at https://github.com/polgreen/BaeVer/tree/210b1ebd4dfb5639cc9ebc4c0fc59eeb63f5eb20,
model, modelnum, one, p1, p2, num of traces, trace length, integration samples, strategy, confidence, p1 count, inv_p1 count, p2 count, inv_p2 counts,
MDP , 1 , 1 , 0.15 , 0.15 , 100 , 10 , 10000 , 3 , 0.0002 , 15 , 72 , 9 , 39 , 
MDP , 1 , 1 , 0.15 , 0.15 , 100 , 10 , 10000 , 3 , 0.006 , 17 , 54 , 4 , 26 , 
MDP , 1 , 1 , 0.15 , 0.15 , 100 , 10 , 10000 , 3 , 0.0004 , 13 , 54 , 9 , 40 , 
MDP , 1 , 1 , 0.15 , 0.15 , 100 , 10 , 10000 , 3 , 0.0091 , 15 , 47 , 4 , 25 , 
MDP , 1 , 1 , 0.15 , 0.15 , 100 , 10 , 10000 , 3 , 0 , 14 , 72 , 8 , 45 , 
MDP , 1 , 1 , 0.15 , 0.15 , 100 , 10 , 10000 , 3 , 0 , 7 , 62 , 5 , 40 , 
MDP , 1 , 1 , 0.15 , 0.15 , 100 , 10 , 10000 , 3 , 0 , 8 , 53 , 8 , 34 , 
MDP , 1 , 1 , 0.15 , 0.15 , 100 , 10 , 10000 , 3 , 0 , 6 , 68 , 6 , 33 , 
MDP , 1 , 1 , 0.15 , 0.15 , 100 , 10 , 10000 , 3 , 0 , 11 , 60 , 6 , 27 , 
MDP , 1 , 1 , 0.15 , 0.15 , 100 , 10 , 10000 , 3 , 0.0057 , 18 , 57 , 3 , 23 , 
MDP , 1 , 1 , 0.15 , 0.15 , 100 , 10 , 10000 , 3 , 0.0003 , 14 , 59 , 10 , 36 , 
MDP , 1 , 1 , 0.15 , 0.15 , 100 , 10 , 10000 , 3 , 0 , 10 , 63 , 10 , 27 , 
MDP , 1 , 1 , 0.15 , 0.15 , 100 , 10 , 10000 , 3 , 0.0003 , 14 , 59 , 7 , 32 , 
MDP , 1 , 1 , 0.15 , 0.15 , 100 , 10 , 10000 , 3 , 0.0081 , 18 , 56 , 7 , 31 , 
MDP , 1 , 1 , 0.15 , 0.15 , 100 , 10 , 10000 , 3 , 0.0001 , 13 , 52 , 6 , 32 , 
MDP , 1 , 1 , 0.15 , 0.15 , 100 , 10 , 10000 , 3 , 0 , 8 , 57 , 8 , 28 , 
MDP , 1 , 1 , 0.15 , 0.15 , 100 , 10 , 10000 , 3 , 0 , 9 , 61 , 5 , 32 , 
MDP , 1 , 1 , 0.15 , 0.15 , 100 , 10 , 10000 , 3 , 0 , 13 , 61 , 6 , 37 , 
MDP , 1 , 1 , 0.15 , 0.15 , 100 , 10 , 10000 , 3 , 0 , 7 , 72 , 4 , 31 , 
MDP , 1 , 1 , 0.15 , 0.15 , 100 , 10 , 10000 , 3 , 0.0003 , 16 , 65 , 10 , 25 , 
MDP , 1 , 1 , 0.15 , 0.15 , 100 , 10 , 10000 , 3 , 0 , 12 , 63 , 6 , 33 , 
MDP , 1 , 1 , 0.15 , 0.15 , 100 , 10 , 10000 , 3 , 0 , 13 , 63 , 7 , 34 , 
MDP , 1 , 1 , 0.15 , 0.15 , 100 , 10 , 10000 , 3 , 0 , 9 , 60 , 6 , 29 , 
MDP , 1 , 1 , 0.15 , 0.15 , 100 , 10 , 10000 , 3 , 0.0002 , 14 , 63 , 8 , 42 , 
MDP , 1 , 1 , 0.15 , 0.15 , 100 , 10 , 10000 , 3 , 0 , 12 , 56 , 7 , 42 , 
MDP , 1 , 1 , 0.15 , 0.15 , 100 , 10 , 10000 , 3 , 0.0001 , 10 , 56 , 6 , 30 , 
MDP , 1 , 1 , 0.15 , 0.15 , 100 , 10 , 10000 , 3 , 0 , 7 , 61 , 6 , 30 , 
MDP , 1 , 1 , 0.15 , 0.15 , 100 , 10 , 10000 , 3 , 0.0009 , 17 , 64 , 6 , 31 , 
MDP , 1 , 1 , 0.15 , 0.15 , 100 , 10 , 10000 , 3 , 0 , 12 , 65 , 5 , 28 , 
MDP , 1 , 1 , 0.15 , 0.15 , 100 , 10 , 10000 , 3 , 0 , 10 , 62 , 8 , 30 , 
MDP , 1 , 1 , 0.15 , 0.15 , 100 , 10 , 10000 , 3 , 0 , 12 , 68 , 10 , 31 , 
MDP , 1 , 1 , 0.15 , 0.15 , 100 , 10 , 10000 , 3 , 0.0006 , 14 , 56 , 9 , 34 , 
MDP , 1 , 1 , 0.15 , 0.15 , 100 , 10 , 10000 , 3 , 0.0007 , 18 , 64 , 7 , 30 , 
MDP , 1 , 1 , 0.15 , 0.15 , 100 , 10 , 10000 , 3 , 0.0007 , 10 , 47 , 12 , 44 , 
MDP , 1 , 1 , 0.15 , 0.15 , 100 , 10 , 10000 , 3 , 0 , 11 , 75 , 11 , 30 , 
MDP , 1 , 1 , 0.15 , 0.15 , 100 , 10 , 10000 , 3 , 0.0001 , 11 , 59 , 5 , 32 , 
MDP , 1 , 1 , 0.15 , 0.15 , 100 , 10 , 10000 , 3 , 0 , 13 , 69 , 4 , 25 , 
MDP , 1 , 1 , 0.15 , 0.15 , 100 , 10 , 10000 , 3 , 0.0028 , 15 , 52 , 7 , 36 , 
MDP , 1 , 1 , 0.15 , 0.15 , 100 , 10 , 10000 , 3 , 0 , 11 , 57 , 6 , 25 , 
MDP , 1 , 1 , 0.15 , 0.15 , 100 , 10 , 10000 , 3 , 0 , 12 , 60 , 5 , 30 , 
MDP , 1 , 1 , 0.15 , 0.15 , 100 , 10 , 10000 , 3 , 0 , 11 , 60 , 5 , 35 , 
MDP , 1 , 1 , 0.15 , 0.15 , 100 , 10 , 10000 , 3 , 0.0002 , 14 , 60 , 6 , 24 , 
MDP , 1 , 1 , 0.15 , 0.15 , 100 , 10 , 10000 , 3 , 0.0106 , 19 , 56 , 6 , 35 , 
MDP , 1 , 1 , 0.15 , 0.15 , 100 , 10 , 10000 , 3 , 0.0074 , 15 , 48 , 8 , 38 , 
MDP , 1 , 1 , 0.15 , 0.15 , 100 , 10 , 10000 , 3 , 0 , 12 , 60 , 6 , 36 , 
MDP , 1 , 1 , 0.15 , 0.15 , 100 , 10 , 10000 , 3 , 0 , 10 , 55 , 6 , 31 , 
MDP , 1 , 1 , 0.15 , 0.15 , 100 , 10 , 10000 , 3 , 0 , 8 , 64 , 4 , 36 , 
MDP , 1 , 1 , 0.15 , 0.15 , 100 , 10 , 10000 , 3 , 0.0005 , 14 , 56 , 4 , 35 , 
MDP , 1 , 1 , 0.15 , 0.15 , 100 , 10 , 10000 , 3 , 0 , 15 , 67 , 3 , 34 , 
MDP , 1 , 1 , 0.15 , 0.15 , 100 , 10 , 10000 , 3 , 0 , 9 , 61 , 6 , 25 , 
MDP , 1 , 1 , 0.15 , 0.15 , 100 , 10 , 10000 , 3 , 0 , 11 , 58 , 8 , 29 , 
MDP , 1 , 1 , 0.15 , 0.15 , 100 , 10 , 10000 , 3 , 0 , 13 , 65 , 5 , 32 , 
MDP , 1 , 1 , 0.15 , 0.15 , 100 , 10 , 10000 , 3 , 0.0006 , 14 , 57 , 5 , 28 , 
MDP , 1 , 1 , 0.15 , 0.15 , 100 , 10 , 10000 , 3 , 0 , 9 , 58 , 11 , 29 , 
MDP , 1 , 1 , 0.15 , 0.15 , 100 , 10 , 10000 , 3 , 0.0033 , 16 , 55 , 8 , 35 , 
MDP , 1 , 1 , 0.15 , 0.15 , 100 , 10 , 10000 , 3 , 0 , 10 , 67 , 6 , 32 , 
MDP , 1 , 1 , 0.15 , 0.15 , 100 , 10 , 10000 , 3 , 0.0031 , 17 , 57 , 9 , 34 , 
MDP , 1 , 1 , 0.15 , 0.15 , 100 , 10 , 10000 , 3 , 0 , 15 , 70 , 7 , 35 , 
MDP , 1 , 1 , 0.15 , 0.15 , 100 , 10 , 10000 , 3 , 0 , 12 , 67 , 6 , 26 , 
MDP , 1 , 1 , 0.15 , 0.15 , 100 , 10 , 10000 , 3 , 0 , 9 , 62 , 6 , 29 , 
MDP , 1 , 1 , 0.15 , 0.15 , 100 , 10 , 10000 , 3 , 0 , 9 , 56 , 8 , 37 , 
MDP , 1 , 1 , 0.15 , 0.15 , 100 , 10 , 10000 , 3 , 0 , 8 , 57 , 10 , 33 , 
MDP , 1 , 1 , 0.15 , 0.15 , 100 , 10 , 10000 , 3 , 0.0003 , 13 , 55 , 7 , 31 , 
MDP , 1 , 1 , 0.15 , 0.15 , 100 , 10 , 10000 , 3 , 0 , 12 , 68 , 8 , 41 , 
MDP , 1 , 1 , 0.15 , 0.15 , 100 , 10 , 10000 , 3 , 0 , 7 , 55 , 3 , 23 , 
MDP , 1 , 1 , 0.15 , 0.15 , 100 , 10 , 10000 , 3 , 0 , 14 , 67 , 8 , 31 , 
MDP , 1 , 1 , 0.15 , 0.15 , 100 , 10 , 10000 , 3 , 0 , 12 , 66 , 8 , 34 , 
MDP , 1 , 1 , 0.15 , 0.15 , 100 , 10 , 10000 , 3 , 0 , 8 , 70 , 3 , 35 , 
MDP , 1 , 1 , 0.15 , 0.15 , 100 , 10 , 10000 , 3 , 0.0002 , 16 , 63 , 6 , 44 , 
MDP , 1 , 1 , 0.15 , 0.15 , 100 , 10 , 10000 , 3 , 0 , 13 , 67 , 6 , 30 , 
MDP , 1 , 1 , 0.15 , 0.15 , 100 , 10 , 10000 , 3 , 0.001 , 18 , 66 , 3 , 29 , 
MDP , 1 , 1 , 0.15 , 0.15 , 100 , 10 , 10000 , 3 , 0 , 6 , 56 , 10 , 39 , 
MDP , 1 , 1 , 0.15 , 0.15 , 100 , 10 , 10000 , 3 , 0 , 4 , 62 , 6 , 33 , 
MDP , 1 , 1 , 0.15 , 0.15 , 100 , 10 , 10000 , 3 , 0 , 13 , 69 , 4 , 27 , 
MDP , 1 , 1 , 0.15 , 0.15 , 100 , 10 , 10000 , 3 , 0 , 11 , 67 , 6 , 34 , 
MDP , 1 , 1 , 0.15 , 0.15 , 100 , 10 , 10000 , 3 , 0 , 12 , 60 , 5 , 25 , 
MDP , 1 , 1 , 0.15 , 0.15 , 100 , 10 , 10000 , 3 , 0 , 10 , 69 , 5 , 28 , 
MDP , 1 , 1 , 0.15 , 0.15 , 100 , 10 , 10000 , 3 , 0.0021 , 17 , 60 , 4 , 25 , 
