Generated on DKR12 at https://github.com/polgreen/BaeVer/tree/210b1ebd4dfb5639cc9ebc4c0fc59eeb63f5eb20,
model, modelnum, one, p1, p2, num of traces, trace length, integration samples, strategy,confidence, p1 count, inv_p1 count, p2 count, inv_p2 counts,
MDP , 1 , 1 , 0.15 , 0.15 , 10 , 10 , 10000 , 3 , 0.142 , 1 , 4 , 1 , 5 , 
MDP , 1 , 1 , 0.2 , 0.2 , 10 , 10 , 10000 , 3 , 0.0921 , 1 , 5 , 1 , 4 , 
MDP , 1 , 1 , 0.25 , 0.25 , 10 , 10 , 10000 , 3 , 0.4642 , 3 , 5 , 3 , 3 , 
MDP , 1 , 1 , 0.15 , 0.15 , 10 , 10 , 10000 , 3 , 0.142 , 1 , 4 , 1 , 5 , 
MDP , 1 , 1 , 0.15 , 0.15 , 10 , 10 , 10000 , 3 , 0.0612 , 1 , 6 , 1 , 2 , 
MDP , 1 , 1 , 0.15 , 0.15 , 10 , 10 , 10000 , 3 , 0.0364 , 1 , 7 , 3 , 3 , 
MDP , 1 , 1 , 0.15 , 0.15 , 10 , 10 , 10000 , 3 , 0.1532 , 3 , 9 , 2 , 3 , 
MDP , 1 , 1 , 0.15 , 0.15 , 10 , 10 , 10000 , 3 , 0.6855 , 5 , 6 , 2 , 5 , 
MDP , 1 , 1 , 0.15 , 0.15 , 10 , 10 , 10000 , 3 , 0.0368 , 1 , 7 , 1 , 2 , 
MDP , 1 , 1 , 0.15 , 0.15 , 10 , 10 , 10000 , 3 , 0.088 , 2 , 8 , 3 , 5 , 
MDP , 1 , 1 , 0.15 , 0.15 , 10 , 10 , 10000 , 3 , 0.0531 , 1 , 6 , 3 , 2 , 
MDP , 1 , 1 , 0.15 , 0.15 , 10 , 10 , 10000 , 3 , 0.2091 , 3 , 8 , 1 , 4 , 
MDP , 1 , 1 , 0.15 , 0.15 , 10 , 10 , 10000 , 3 , 0.0619 , 2 , 9 , 2 , 2 , 
MDP , 1 , 1 , 0.15 , 0.15 , 10 , 10 , 10000 , 3 , 0.1874 , 2 , 6 , 1 , 2 , 
MDP , 1 , 1 , 0.15 , 0.15 , 10 , 10 , 10000 , 3 , 0.2071 , 3 , 8 , 1 , 3 , 
MDP , 1 , 1 , 0.15 , 0.15 , 10 , 10 , 10000 , 3 , 0.0138 , 1 , 9 , 1 , 3 , 
